"","date","piid","agency","ceiling_value","value","update_date","fpds_status","fpds_link","vendor","description","savings"
"1",2025-01-21,"93310023P0021","Bureau of Land Management",440000,145000,2025-02-13,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9300&PIID=93310023P0021&modNumber=A00002&idvAgencyID=&idvPIID=&contractType=AWARD","CORICHIA BRISCO ENTERPRISES LLC","EEO DEIA SUPPORT",145000
"2",2025-02-14,"95044124P0006","Committee for Purchase From People Who Are Blind or Severely Disabled",199305,21341,2025-02-20,"EXERCISE AN OPTION","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9518&PIID=95044124P0006&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD","WEST PUBLISHING CORPORATION","Legal Database that allows lawyers to conduct research and prepare for litigation",21341
"3",2025-02-05,"9523ZY19F0048","Commodity Futures Trading Commission",21382.14,0,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9507&PIID=9523ZY19F0048&modNumber=P00001&idvAgencyID=&idvPIID=GS02F026DA&contractType=AWARD","WEST PUBLISHING CORPORATION","RENEW WEST PRINT SUBSCRIPTIONS FOR VARIOUS LEGAL TITLES FOR EIGHT DIFFERENT ACCOUNTS IN EVERY CFTC LOCATION.",0
"4",2025-02-07,"9523ZY21P0041","Commodity Futures Trading Commission",255863,60373,2025-02-13,"EXERCISE AN OPTION","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9507&PIID=9523ZY21P0041&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD","Politico","Annual subscription to Politico Pro",60373
"5",2025-01-28,"9531CB24A0008","Consumer Financial Protection Bureau",9999999,9999999,2025-01-29,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24A0008&modNumber=P00001&idvAgencyID=&idvPIID=47QRAA20D003C&contractType=IDV","CULTUREPOINT LLC","OMWI Training Support  - DEIA Training Termination",9999999
"6",2025-01-27,"9531CB24A0009","Consumer Financial Protection Bureau",9999999,9999999,2025-01-29,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24A0009&modNumber=P00001&idvAgencyID=&idvPIID=47QSEA21D004D&contractType=IDV","NEUROLEADERSHIP INSTITUTE INC.","OMWI Training Support - Psychological Safety - Termination",9999999
"7",2025-02-10,"9531CB20F0046","Consumer Financial Protection Bureau",245616,0,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB20F0046&modNumber=P00008&idvAgencyID=&idvPIID=03310318DL19C0008&contractType=AWARD","CQ-ROLL CALL, INC.","CQ ROLL CALL SUBSCRIPTION - TERMINATION FOR CONVENIENCE",0
"8",2025-02-10,"9531CB25P0014","Consumer Financial Protection Bureau",127398,103398,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB25P0014&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD","WP COMPANY LLC","WASHINGTON POST SUBSCRIPTION",103398
"9",2025-02-10,"9531CB24P0017","Consumer Financial Protection Bureau",216665,176665,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24P0017&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD","DOW JONES & CO INC","WALL STREET JOURNAL SBSCRIPTION",176665
"10",2025-02-10,"9531CB25F0039","Consumer Financial Protection Bureau",299250,242950,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB25F0039&modNumber=P00001&idvAgencyID=&idvPIID=03310323D0031&contractType=AWARD","FISCALNOTE, INC.","CQ ROLLCALL",242950
"11",2025-02-10,"9531CB25P0012","Consumer Financial Protection Bureau",635375,522660,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB25P0012&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD","POLITICO, LLC","POLITICO PRO",522660
"12",2025-02-10,"9531CB23F0100","Consumer Financial Protection Bureau",850353.75,584172,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23F0100&modNumber=P00002&idvAgencyID=&idvPIID=03310319D0026&contractType=AWARD","BLOOMBERG INDUSTRY GROUP, INC.","BLOOMBERG GOVERNMENT SUBSCRIPTIONS - EXERCISE OPTION PERIOD 1 AND ADD JAWAD SYEDAIN AS ACOR.",584172
"13",2025-02-12,"20343024F00009","Consumer Financial Protection Bureau",170492,0,2025-02-14,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00009&modNumber=P00002&idvAgencyID=&idvPIID=03310323D0024&contractType=AWARD","PROQUEST LLC","PROQUEST DIGITAL CONTENT",0
