"","sq_ft","date","location","description","ceiling_value","value","agency","savings"
"1","3076",2025-01-22,"Miami, FL","Lease end date 2/28/25.",112278,7383,"DEPARTMENT OF STATE",7383
"2","3068",2025-01-22,"Cincinnati, OH","Lease end date 6/30/25. ",75739,30295,"BUREAU OF PRISONS",30295
"3","51138",2025-01-22,"Kansas City, Bureau of Prisons","Lease Termination sent 1/22/25, effective 2/1/26. Tenant will relocate into another local building.",9e+05,1275000,"BUREAU OF PRISONS",1275000
"4","4599",2025-01-22,"O’Fallon, IL, FAS Service Center","Lease Termination sent 1/22/25, effective 4/21/25.",99000,239250,"FAS- OFFICE SPAC",239250
"5","2983",2025-01-23,"Fairborn, OH, FAS","Lease Termination sent 1/23/25, effective 4/22/25. ",51000,80292,"FAS- OFFICE SPAC",80292
"6","119812",2025-01-27,"Atlanta, GA, CDC","Lease Termination sent 1/27/25, effective 5/31/25.",2473060,2060883,"CENTER FOR DISEASE CONTROL",2060883
"7","3719",2025-01-27,"Charlottesville, VA","Termination for LVA09326 - agency released space currently vacant. Lease termination is 01/27/2025",124121,0,"MULTIPLE",0
"8","16632",2025-01-29,"White Plains, NY","Lease termination notice sent 1/29/25. Lease will terminate at original expiration on 5/31/25.",511908,162689,"SOCIAL SECURITY ADMINISTRATION",162689
"9","55043",2025-01-29,"Arlington, VA","Lease termination notice sent 1/29/25. Lease has been in holdover and will now terminate on 1/31/25.",2595912,0,"MULTIPLE",0
"10","49662",2025-01-29,"Arlington, VA","Lease termination notice sent 1/29/25. Lease has been in holdover and will now terminate on 1/31/25.",2440578,0,"DHS OFFICE OF THE UNDERSECRETARY FOR MANAGEMENT",0
"11","5421",2025-01-29,"Middleburg Heights, OH","True Termination- Agency Closed Office",96568,193136,"PBS",193136
"12","845389",2025-01-30,"Washington, DC","Lease termination notice sent 1/30/25. Termination effective at original expiration on 5/14/25.",26357330,7148974,"BUREAU OF LABOR STATISTICS",7148974
"13","46821",2025-01-30,"Washington, DC","Lease termination notice sent 1/30/25. Termination effective on 4/30/25.",2087093,1898397,"MULTIPLE",1898397
"14","3860",2025-01-30,"Springfield, IL","Lease termination notice sent 1/30/25. Termination effective on 4/29/25.",62102,164698,"PUBLIC BUILDINGS SERVICE-FIELD OFFICE",164698
"15","250",2025-01-31,"New York, NY","True Termination- Agency Closed Office",63000,4142,"DHS UNITED STATES SECRET SERVICE",4142
"16","5598",2025-01-31,"Riverdale Park, MD","True Termination- Consolidation",198065,32559,"MULTIPLE",32559
"17","0",2025-01-31,"New York, NY","True Termination- Agency Closed Office",1786302,1316480,"U.S. IMMIGRATION & CUSTOMS ENFORCEMENT (ICE)",1316480
"18","22195",2025-01-31,"Washington, DC","True Termination- Move to Federal Space",1052263,1150282,"FIELD OFFICES",1150282
"19","0",2025-01-31,"New York, NY","True Termination- Agency Closed Office",1834070,2261182,"U.S. IMMIGRATION & CUSTOMS ENFORCEMENT (ICE)",2261182
"20","7852",2025-02-03,"Logan, WV","agency closing office temporarily",196028,45650,"SOCIAL SECURITY ADMINISTRATION",45650
"21","5255",2025-02-03,"Washington, DC","True Termination- Consolidation",266445,196366,"DEPARTMENT OF EDUCATION",196366
"22","6610",2025-02-03,"LOS ANGELES, CA","True Termination- Agency Closed Office",463440,0,"DOD -WHS",0
"23","1300",2025-02-04,"REHOBOTH BEACH, DE","True Termination- Agency Closed Office",120000,0,"MULTIPLE",0
"24","2400",2025-02-04,"REHOBOTH BEACH, DE","True Termination- Agency Closed Office",308975,0,"DHS UNITED STATES SECRET SERVICE",0
"25","2740",2025-02-04,"REHOBOTH BEACH, DE","True Termination- Agency Closed Office",156300,0,"DEFENSE INFORMATION SYSTEMS AGENCY",0
"26","2350",2025-02-04,"WILMINGTON, DE","True Termination- Agency Closed Office",89250,0,"DOD -WHS",0
"27","2958",2025-02-04,"CHAMPAIGN, IL","True Termination- Agency Closed Office",57893,0,"OFFICE OF THE COMPTROLLER OF THE CURRENCY",0
"28","13441",2025-02-04,"WILMINGTON, DE","True Termination- Agency Closed Office",528160,0,"DHS UNITED STATES SECRET SERVICE",0
"29","1000",2025-02-04,"PHILADELPHIA, PA","True Termination- Agency Closed Office",39348,0,"DHS UNITED STATES SECRET SERVICE",0
"30","0",2025-02-04,"WILMINGTON, DE","True Termination- Agency Closed Office",249975,0,"DHS UNITED STATES SECRET SERVICE",0
"31","959",2025-02-04,"LEBANON, NH","True Termination- Agency Closed Office",29098,0,"SMALL BUSINESS ADMINISTRATION",0
"32","330",2025-02-04,"YAKIMA, WA","True Termination- Vacant Space Buyout",2580,0,"DRUG ENFORCEMENT ADMINISTRATION",0
"33","23394",2025-02-04,"SEATTLE, WA","True Termination- Move to Federal Space",1046843,946460,"GOVERNMENT ACCOUNTABILITY OFFICE",946460
"34","3579",2025-02-04,"CARLSBAD, CA","True Termination- Consolidation",116449,0,"SOCIAL SECURITY ADMINISTRATION",0
"35","1155",2025-02-05,"JACKSONVILLE, FL","True Termination- Move to Federal Space",27616,6904,"DEFENSE COUNTERINTELLIGENCE AND SECURITY AGENCY – DOD W",6904
"36","7322",2025-02-05,"MILWAUKEE, WI","True Termination- Move to Federal Space",186700,0,"DEFENSE CONTRACT MANAGEMENT AGENCY- NATIONAL",0
"37","1000",2025-02-05,"MIDDLEBURG HEIGHTS, OH","True Termination- Agency Closed Office",15299,0,"MULTIPLE",0
"38","1200",2025-01-30,"LOS ANGELES, CA","True Termination- Agency Closed Office",35340,0,"DHS UNITED STATES SECRET SERVICE",0
"39","16439",2025-01-30,"LOS ANGELES, CA","True Termination- Agency Closed Office",599399,0,"MULTIPLE",0
"40","46567",2025-01-30,"PHOENIX, AZ","True Termination- Consolidation",1168475,0,"PUBLIC DEFENDER SERVICE",0
"41","2193",2025-01-30,"PHOENIX, AZ","True Termination- Vacant Space Buyout",44990,221199,"MULTIPLE",221199
"42","2551",2025-01-30,"BREA, CA","True Termination- Vacant Space Buyout",73826,0,"MULTIPLE",0
"43","5560",2025-02-02,"TOPEKA, KS","True Termination- Agency Closed Office",121818,964396,"RISK MANAGEMENT AGENCY (RMA)",964396
"44","4998",2025-02-04,"ABILENE, TX","True Termination- Agency Closed Office",68743,0,"DHS TRANSPORTATION SECURITY ADMINISTRATION",0
"45","0",2025-02-04,"AUSTIN, TX","True Termination- Agency Closed Office",139440,23240,"U.S. IMMIGRATION & CUSTOMS ENFORCEMENT (ICE)",23240
"46","2257",2025-02-04,"DAYTON, OH","True Termination- Agency Closed Office",33574,0,"UNITED STATES TRUSTEES",0
"47","351",2025-02-04,"DAVENPORT, IA","True Termination- Agency Closed Office",6435,20376,"EMPLOY. AND TRAIN. ADMIN., BUR. OF APPRENTICESHIP AND T",20376
"48","2871",2025-02-04,"MADISON, WI","True Termination- Agency Closed Office",58142,290709,"UNITED STATES FISH AND WILDLIFE SERVICE",290709
"49","3201",2025-02-04,"AKRON, OH","True Termination- Move to Federal Space",48404,0,"DEFENSE CONTRACT MANAGEMENT AGENCY- NATIONAL",0
"50","3853",2025-02-04,"BIRMINGHAM, AL","True Termination- Move to Federal Space",101211,227725,"NATIONAL LABOR RELATIONS BOARD",227725
"51","23860",2025-02-04,"MOBILE, AL","True Termination- Agency Direct Lease",722044,0,"CORPS OF ENGINEERS, CIVIL",0
"52","1120",2025-02-05,"LAS CRUCES, NM","True Termination- Move to Federal Space",27109,6777,"VETERANS BENEFITS ADMINISTRATION",6777
"53","5300",2025-02-06,"NORTH ANDOVER CENTER, MA","True Termination- Consolidation",115664,67470,"DRUG ENFORCEMENT ADMINISTRATION",67470
"54","440",2025-02-06,"FAYETTEVILLE, AR","True Termination- Move to Federal Space",11096,0,"EMPLOYMENT STANDARDS ADMINISTRATION, WAGE AND HOUR DIVI",0
"55","5624",2025-02-06,"ALBUQUERQUE, NM","True Termination- Consolidation",67317,330975,"MULTIPLE",330975
"56","17000",2025-02-06,"ATLANTA, GA","True Termination- Consolidation",446286,NA,"FOOD AND DRUG ADMINISTRATION",NA
"57","982",2025-02-06,"ROANOKE RAPIDS, NC","True Termination- Lease Backfill",24000,0,"SOCIAL SECURITY ADMINISTRATION",0
"58","3403",2025-02-06,"BATESVILLE, AR","True Termination- Agency Direct Lease",51045,0,"RURAL HOUSING SERVICE",0
"59","1470",2025-02-06,"BATESVILLE, AR","True Termination- Lease Backfill",22050,0,"NATURAL RESOURCES CONSERVATION SERVICE",0
"60","2891",2025-02-06,"BATESVILLE, AR","True Termination- Agency Direct Lease",43365,43365,"FARM SERVICE AGENCY - COUNTY",43365
"61","1934",2025-02-06,"BATESVILLE, AR","True Termination- Agency Direct Lease",29010,0,"SOCIAL SECURITY ADMINISTRATION",0
"62","3999",2025-02-06,"COLUMBUS, OH","True Termination- Move to Federal Space",81059,0,"SOCIAL SECURITY ADMINISTRATION",0
"63","4276",2025-02-06,"OKEMOS, MI","True Termination- Agency Closed Office",108966,0,"SOCIAL SECURITY ADMINISTRATION",0
"64","2325",2025-02-06,"BROKEN BOW, OK","True Termination- Agency Closed Office",30612,58673,"UNITED STATES FISH AND WILDLIFE SERVICE",58673
"65","8905",2025-02-06,"ADDISON, TX","True Termination- Move to Federal Space",217084,416078,"DEFENSE CONTRACT MANAGEMENT AGENCY- LOCAL",416078
"66","1717",2025-02-06,"NACOGDOCHES, TX","True Termination- Agency Closed Office",43207,86414,"SOCIAL SECURITY ADMINISTRATION",86414
"67","0",2025-02-06,"CARNEGIE, OK","True Termination- Agency Closed Office",2798,6063,"BUREAU OF INDIAN AFFAIRS",6063
"68","124569",2025-02-07,"FAIRFIELD, OH","True Termination- Agency Closed Office",478213,39851,"NATIONAL ARCHIVES CENTERS",39851
"69","61371",2025-02-07,"COLUMBUS, OH","True Termination- Move to Federal Space",1512990,0,"BANKRUPTCY CLERK",0
"70","6834",2025-02-07,"TOLEDO, OH","True Termination- Move to Federal Space",146733,0,"PROBATION",0
"71","976",2025-02-07,"GREEN BAY, WI","True Termination- Consolidation",26229,0,"SOCIAL SECURITY ADMINISTRATION",0
"72","3409",2025-02-07,"EL PASO, TX","True Termination- Move to Federal Space",75290,NA,"GEOLOGICAL SURVEY",NA
"73","20000",2025-02-07,"MENLO PARK, CA","True Termination- Agency Direct Lease",1800000,0,"GEOLOGICAL SURVEY",0
"74","73573",2025-02-07,"HOFFMAN ESTATES, IL","True Termination- Consolidation",1480913,740457,"NATIONAL ARCHIVES CENTERS",740457
"75","555",2025-02-05,"HOUSTON, TX","True Termination- Agency Closed Office",13547,67734,"MULTIPLE",67734
"76","2597",2025-02-07,"MCALLEN, TX","True Termination- Move to Federal Space",79520,258439,"MULTIPLE",258439
"77","748",2025-02-07,"BROWNSVILLE, TX","True Termination- Agency Closed Office",18287,91437,"MULTIPLE",91437
"78","6440",2025-02-10,"SANTA MARIA, CA","True Termination- Agency Direct Lease",118513,237027,"GEOLOGICAL SURVEY",237027
"79","30193",2025-02-10,"WASHINGTON, DC","True Termination- Agency Closed Office",1462643,0,"MULTIPLE",0
"80","18163",2025-02-11,"BUFFALO, NY","True Termination- Consolidation",548896,0,"DEFENSE CONTRACT MANAGEMENT AGENCY- NATIONAL",0
"81","37644",2025-02-11,"BUFFALO, NY","True Termination- Consolidation",1020916,0,"NATIONAL LABOR RELATIONS BOARD",0
"82","17593",2025-02-11,"WASHINGTON, DC","True Termination- Agency Closed Office",795617,0,"MULTIPLE",0
"83","2061",2025-02-12,"WASHINGTON, DC","True Termination- Agency Closed Office",71820,0,"MULTIPLE",0
"84","0",2025-02-12,"WASHINGTON, DC","True Termination- Agency Closed Office",42000,0,"DHS UNITED STATES SECRET SERVICE",0
"85","1895",2025-02-12,"LAS VEGAS, NV","True Termination- Move to Federal Space",65406,16352,"SOCIAL SECURITY ADMINISTRATION",16352
"86","1277",2025-02-12,"CHARLOTTE AMALIE, VI","True Termination- Agency Closed Office",67411,0,"ENVIRONMENTAL PROTECTION AGENCY",0
"87","1228",2025-02-13,"AUBURN, CA","True Termination- Agency Closed Office",31025,62051,"MULTIPLE",62051
